caseid,age,income_respondent,feelings_life,total_children
1,52.7,37500,8,1
2,51.1,12500,10,5
3,63.6,37500,8,5
4,80,62500,10,1
5,28,12500,8,0
6,63,12500,9,2
7,58.8,12500,4,2
8,80,12500,10,7
9,63.8,12500,8,0
10,25.2,12500,5,1
11,15.7,12500,10,0
12,40.3,37500,6,0
13,56.8,12500,6,4
14,26.8,37500,10,2
15,66.8,37500,6,1
16,30.6,37500,9,0
17,68.8,125000,9,7
18,33.8,87500,8,0
19,73.2,62500,10,1
20,39.1,87500,9,3
21,64.8,37500,10,2
22,25.5,37500,8,0
23,49.4,87500,8,0
24,16.3,12500,7,0
25,63.5,37500,8,0
26,78.4,87500,9,0
27,30.8,112500,7,0
28,19.1,12500,2,0
29,40.8,37500,7,3
30,43.9,37500,9,0
31,40.7,37500,8,2
32,80,37500,7,2
33,16.8,12500,8,0
34,80,37500,10,3
35,71.4,62500,8,2
36,71.6,12500,10,2
37,29.6,62500,7,0
38,74.9,62500,8,0
39,18.6,12500,5,0
40,54.3,12500,10,3
41,80,37500,10,2
42,37,62500,9,1
43,27.3,37500,8,1
44,68.9,62500,10,4
45,53.6,12500,8,0
46,63.4,125000,10,3
47,34.5,62500,7,1
48,36.2,112500,8,2
49,80,37500,8,6
50,69.4,12500,9,2
51,26.8,12500,8,1
52,60.6,12500,8,2
53,51.9,62500,5,1
54,61.5,125000,9,3
55,47.5,112500,9,2
56,46.6,87500,7,2
57,53.6,62500,7,0
58,68.6,12500,10,3
59,45.1,37500,8,0
60,51,87500,6,2
61,70.8,37500,10,2
62,60.8,12500,8,0
63,53.1,37500,6,0
64,34,12500,9,3
65,72.4,12500,7,3
66,80,37500,9,3
67,65.9,37500,9,3
68,61.8,12500,5,2
69,37,37500,10,2
70,58.4,12500,6,0
71,80,37500,9,2
72,42.3,62500,8,3
73,44.3,37500,6,2
74,26.7,12500,10,0
75,24.1,12500,10,0
76,41.1,37500,10,2
77,26.1,12500,8,0
78,31.5,37500,9,1
79,57.9,37500,6,2
80,15.4,12500,9,0
81,16.4,12500,8,0
82,41.7,87500,7,0
83,24.9,12500,8,0
84,54,112500,8,0
85,17.1,12500,8,0
86,63.9,62500,8,0
87,57.8,12500,8,3
88,74.8,12500,7,4
89,41.1,87500,7,2
90,59.9,12500,4,1
91,80,37500,NA,0
92,53.3,87500,7,1
93,35.2,12500,7,0
94,80,12500,NA,2
95,73.3,12500,6,4
96,80,37500,8,2
97,72.3,37500,5,1
98,56.3,62500,10,1
99,64.9,87500,0,0
100,29.8,62500,7,0
101,71,37500,9,2
102,33,37500,10,2
103,25.3,12500,8,0
104,63.4,12500,8,2
105,79,37500,9,4
106,43.3,37500,6,1
107,57.3,37500,4,3
108,45.3,125000,10,0
109,55.8,87500,8,1
110,24.2,12500,10,0
111,47.7,87500,8,0
112,41.4,125000,7,2
113,64.3,37500,NA,1
114,80,12500,9,2
115,29.3,62500,7,0
116,79.1,37500,10,2
117,59.3,125000,8,4
118,47.3,62500,8,4
119,35.9,37500,9,7
120,22.5,37500,9,0
121,53.8,37500,8,1
122,51.4,87500,10,1
123,45,62500,10,1
